date,county,fips,new_cases,new_deaths
2021-01-24,Ada,16001.0,62.0,0.0
2021-01-25,Ada,16001.0,154.0,4.0
2021-01-26,Ada,16001.0,170.0,3.0
2021-01-27,Ada,16001.0,125.0,4.0
2021-01-28,Ada,16001.0,136.0,4.0
2021-01-29,Ada,16001.0,187.0,-1.0
2021-01-30,Ada,16001.0,114.0,0.0
2021-01-31,Ada,16001.0,0.0,0.0
2021-02-01,Ada,16001.0,137.0,4.0
2021-02-02,Ada,16001.0,151.0,0.0
2021-02-03,Ada,16001.0,118.0,1.0
2021-02-04,Ada,16001.0,121.0,0.0
2021-02-05,Ada,16001.0,85.0,2.0
2021-02-06,Ada,16001.0,56.0,2.0
2021-02-07,Ada,16001.0,0.0,0.0
2021-02-08,Ada,16001.0,141.0,4.0
2021-02-09,Ada,16001.0,99.0,0.0
2021-02-10,Ada,16001.0,110.0,2.0
2021-02-11,Ada,16001.0,114.0,0.0
2021-02-12,Ada,16001.0,105.0,2.0
2021-02-13,Ada,16001.0,55.0,1.0
2021-02-14,Ada,16001.0,0.0,0.0
2021-02-15,Ada,16001.0,0.0,0.0
2021-02-16,Ada,16001.0,152.0,0.0
2021-02-17,Ada,16001.0,118.0,1.0
2021-02-18,Ada,16001.0,58.0,0.0
2021-02-19,Ada,16001.0,59.0,0.0
2021-02-20,Ada,16001.0,28.0,0.0
2021-02-21,Ada,16001.0,0.0,0.0
2021-02-22,Ada,16001.0,134.0,0.0
2021-02-23,Ada,16001.0,91.0,2.0
2021-02-24,Ada,16001.0,73.0,0.0
2021-02-25,Ada,16001.0,91.0,2.0
2021-02-26,Ada,16001.0,117.0,2.0
2021-02-27,Ada,16001.0,19.0,0.0
2021-02-28,Ada,16001.0,0.0,0.0
2021-03-01,Ada,16001.0,140.0,1.0
2021-03-02,Ada,16001.0,145.0,2.0
2021-03-03,Ada,16001.0,132.0,0.0
2021-03-04,Ada,16001.0,62.0,0.0
2021-03-05,Ada,16001.0,36.0,0.0
2021-03-06,Ada,16001.0,0.0,0.0
2021-03-07,Ada,16001.0,0.0,0.0
2021-03-08,Ada,16001.0,154.0,3.0
2021-03-09,Ada,16001.0,89.0,0.0
2021-03-10,Ada,16001.0,93.0,0.0
2021-03-11,Ada,16001.0,74.0,1.0
2021-03-12,Ada,16001.0,87.0,0.0
2021-03-13,Ada,16001.0,42.0,1.0
2021-03-14,Ada,16001.0,0.0,0.0
2021-03-15,Ada,16001.0,124.0,2.0
2021-03-16,Ada,16001.0,101.0,1.0
2021-03-17,Ada,16001.0,106.0,0.0
2021-03-18,Ada,16001.0,85.0,0.0
2021-03-19,Ada,16001.0,107.0,0.0
2021-03-20,Ada,16001.0,55.0,0.0
2021-03-21,Ada,16001.0,0.0,0.0
2021-03-22,Ada,16001.0,127.0,1.0
2021-03-23,Ada,16001.0,71.0,1.0
2021-03-24,Ada,16001.0,74.0,0.0
2021-03-25,Ada,16001.0,94.0,1.0
2021-03-26,Ada,16001.0,103.0,0.0
2021-03-27,Ada,16001.0,54.0,0.0
2021-03-28,Ada,16001.0,0.0,0.0
2021-03-29,Ada,16001.0,128.0,0.0
2021-03-30,Ada,16001.0,114.0,0.0
2021-03-31,Ada,16001.0,93.0,1.0
2021-04-01,Ada,16001.0,98.0,0.0
2021-04-02,Ada,16001.0,92.0,0.0
2021-04-03,Ada,16001.0,0.0,0.0
2021-04-04,Ada,16001.0,0.0,0.0
2021-04-05,Ada,16001.0,235.0,0.0
2021-04-06,Ada,16001.0,97.0,0.0
2021-04-07,Ada,16001.0,101.0,0.0
2021-04-08,Ada,16001.0,116.0,2.0
2021-04-09,Ada,16001.0,100.0,0.0
2021-04-10,Ada,16001.0,0.0,0.0
2021-04-11,Ada,16001.0,0.0,0.0
2021-04-12,Ada,16001.0,224.0,1.0
2021-04-13,Ada,16001.0,95.0,1.0
2021-04-14,Ada,16001.0,73.0,2.0
2021-04-15,Ada,16001.0,83.0,0.0
2021-04-16,Ada,16001.0,98.0,0.0
2021-04-17,Ada,16001.0,0.0,0.0
2021-04-18,Ada,16001.0,0.0,0.0
2021-04-19,Ada,16001.0,171.0,1.0
2021-04-20,Ada,16001.0,71.0,0.0
2021-04-21,Ada,16001.0,89.0,1.0
2021-04-22,Ada,16001.0,69.0,0.0
2021-04-23,Ada,16001.0,99.0,0.0
2021-04-24,Ada,16001.0,0.0,0.0
2021-04-25,Ada,16001.0,0.0,0.0
2021-04-26,Ada,16001.0,207.0,2.0
2021-04-27,Ada,16001.0,81.0,2.0
2021-04-28,Ada,16001.0,67.0,1.0
2021-04-29,Ada,16001.0,86.0,0.0
2021-04-30,Ada,16001.0,53.0,0.0
2021-05-01,Ada,16001.0,0.0,0.0
2021-05-02,Ada,16001.0,0.0,0.0
2021-05-03,Ada,16001.0,123.0,0.0
2021-05-04,Ada,16001.0,51.0,0.0
2021-05-05,Ada,16001.0,56.0,0.0
2021-05-06,Ada,16001.0,31.0,0.0
2021-05-07,Ada,16001.0,46.0,2.0
2021-05-08,Ada,16001.0,0.0,0.0
2021-05-09,Ada,16001.0,0.0,0.0
2021-05-10,Ada,16001.0,108.0,0.0
2021-05-11,Ada,16001.0,65.0,0.0
2021-05-12,Ada,16001.0,54.0,3.0
2021-05-13,Ada,16001.0,45.0,0.0
2021-05-14,Ada,16001.0,61.0,0.0
2021-05-15,Ada,16001.0,0.0,0.0
2021-05-16,Ada,16001.0,0.0,0.0
2021-05-17,Ada,16001.0,104.0,0.0
2021-05-18,Ada,16001.0,32.0,2.0
2021-05-19,Ada,16001.0,83.0,0.0
2021-05-20,Ada,16001.0,50.0,1.0
2021-05-21,Ada,16001.0,40.0,0.0
2021-05-22,Ada,16001.0,0.0,0.0
2021-05-23,Ada,16001.0,0.0,0.0
2021-05-24,Ada,16001.0,85.0,0.0
